Customer ID,Customer Name,Sales,Profit
TA-21385,Tom Ashbrook,35668.120800000004,6274.9891
GT-14710,Greg Tran,34471.89028,5164.84718
TC-20980,Tamara Chand,34218.269,8787.474900000001
SM-20320,Sean Miller,31125.29496,-1083.67434
BW-11110,Bart Watters,30613.6165,3337.4659
HL-15040,Hunter Lopez,29664.23058,7657.50178
SE-20110,Sanjit Engle,29532.62502,5863.62392
PS-19045,Penelope Sewall,29252.3194,4426.1951
RB-19360,Raymond Buch,29197.634599999998,8523.9515
ZC-21910,Zuschuss Carroll,28472.81926,452.5032599999999
